"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"May 26, 2018",2018,"May",1,"",1,"","",1,"","Sickness and lack of access to medicines","Central Mediterranean","34.310004799433"," 13.902308756250"
"May 24, 2018",2018,"May",4,14,18,12,2,2,"","Presumed drowning","Western Mediterranean","34.522568371876"," -6.495380873535"
"May 14, 2018",2018,"May",7,"",7,12,"","",3,"Drowning","Eastern Mediterranean","39.458858375437"," 26.058644190430"
"May 13, 2018",2018,"May",9,"",9,"","",2,"","Drowning","Eastern Mediterranean","35.473177364902"," 34.293756766172"
"May 12, 2018",2018,"May",1,"",1,"","",1,"","Presumed drowning","Central Mediterranean","32.672917004916"," 14.273392064062"
"May 06, 2018",2018,"May",1,3,4,114,"","","","Presumed drowning","Central Mediterranean","34.169328211340"," 13.411064862500"
"April 30, 2018",2018,"Apr",1,"",1,"",1,"","","Drowning","Central Mediterranean","32.863131902941"," 13.432646267578"
"April 30, 2018",2018,"Apr",2,"",2,"","",2,"","Drowning","Central Mediterranean","32.795033269536"," 13.714950386230"
"April 30, 2018",2018,"Apr",6,"",6,"","",5,1,"Drowning","Central Mediterranean","32.942476914595"," 12.087154137109"
"April 29, 2018",2018,"Apr",17,2,19,19,"","","","Drowning","Western Mediterranean","35.822895058362"," -0.796902517969"
"April 25, 2018",2018,"Apr",5,12,17,17,"","","","Drowning","Western Mediterranean","35.719565805417"," -3.226601551172"
"April 22, 2018",2018,"Apr",11,"",11,"","",11,1,"Drowning","Central Mediterranean","32.897924735444"," 12.636084778651"
"April 14, 2018",2018,"Apr",1,"",1,"","",1,"","Cardiac arrest","Western Mediterranean","35.898592900000"," -5.373166000000"
"April 13, 2018",2018,"Apr",1,"",1,"","",1,"","Cardiac arrest","Western Mediterranean","35.898558136159"," -5.374453460327"
"April 09, 2018",2018,"Apr",6,30,36,10,"","","","Presumed drowning","Western Mediterranean","35.565324311662"," -6.015228714063"
"April 06, 2018",2018,"Apr",1,"",1,"",1,"","","Drowning","Western Mediterranean","36.007378006886"," -5.595094154956"
"April 02, 2018",2018,"Apr",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.635369791472"," -1.325146605078"
"April 01, 2018",2018,"Apr",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.307342028997"," -3.957839329297"
"April 01, 2018",2018,"Apr",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.724826606545"," -1.134878620654"
"April 01, 2018",2018,"Apr",7,4,11,1,"",1,"","Drowning","Western Mediterranean","35.977554386570"," -5.768318886719"
"March 31, 2018",2018,"Mar",1,"",1,"","","","","Presumed drowning","Western Mediterranean","35.400122962293"," -1.258784939648"
"March 29, 2018",2018,"Mar","",7,7,"","",7,"","Presumed drowning","Western Mediterranean","35.961994206451"," -5.382424111328"
"March 20, 2018",2018,"Mar",1,"",1,"","",1,"","Presumed drowning","Central Mediterranean","32.908397062094"," 13.256741284619"
"March 18, 2018",2018,"Mar",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.619003063120"," -6.364435634424"
"March 17, 2018",2018,"Mar",16,3,19,3,5,11,9,"Drowning","Eastern Mediterranean","37.462855742504"," 27.010840066992"
"March 15, 2018",2018,"Mar",12,"",12,22,"","","","Presumed drowning","Western Mediterranean","35.519970536120"," -2.645016567187"
"March 12, 2018",2018,"Mar",1,"",1,"","",1,"","Sickness and lack of access to medicines","Central Mediterranean","36.839922534108"," 14.765837528836"
"March 08, 2018",2018,"Mar",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.626580524694"," -6.383661708643"
"March 03, 2018",2018,"Mar",3,"",3,2,2,1,"","Drowning","Western Mediterranean","35.915401186367"," -5.380983631274"
"March 03, 2018",2018,"Mar","",21,21,30,4,17,"","Presumed drowning","Central Mediterranean","33.442744459548"," 12.570127875000"
"February 28, 2018",2018,"Feb",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.612071497907"," -1.170012647266"
"February 26, 2018",2018,"Feb",1,"",1,"","",1,"","Cardiac arrest","Western Mediterranean","36.008245901966"," -5.603763054492"
"February 25, 2018",2018,"Feb",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.150995800000"," -5.337883400000"
"February 21, 2018",2018,"Feb",2,"",2,"",1,1,"","Presumed drowning","Western Mediterranean","35.406879065613"," -1.395759438281"
"February 19, 2018",2018,"Feb",1,"",1,"","",1,"","Unknown","Central Mediterranean","32.719144626209"," 14.171768528906"
"February 18, 2018",2018,"Feb",2,"",2,"","","","","Presumed drowning","Western Mediterranean","35.595813364862"," -1.186008961035"
"February 17, 2018",2018,"Feb",1,"",1,"","","","","Presumed drowning","Western Mediterranean","36.654403900040"," 0.924694723437"
"February 16, 2018",2018,"Feb",1,"",1,"","","","","Presumed drowning","Western Mediterranean","35.646074121757"," -1.075810897416"
"February 16, 2018",2018,"Feb",1,"",1,"","","","","Presumed drowning","Central Mediterranean","32.906811782506"," 13.184471844922"
"February 16, 2018",2018,"Feb",1,"",1,"","","","","Presumed drowning","Central Mediterranean","32.796511748693"," 12.733749617969"
"February 15, 2018",2018,"Feb",11,"",11,"","","","","Presumed drowning","Central Mediterranean","32.940748164060"," 12.081660973047"
"February 15, 2018",2018,"Feb",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.579829252717"," -1.163521320654"
"February 15, 2018",2018,"Feb",2,"",2,"","",2,"","Presumed drowning","Western Mediterranean","35.717462497699"," -0.893899331738"
"February 14, 2018",2018,"Feb",2,"",2,"","",2,"","Presumed drowning","Western Mediterranean","35.494728544351"," -1.244925426954"
"February 13, 2018",2018,"Feb",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.971216093787"," 0.070161184473"
"February 12, 2018",2018,"Feb",1,"",1,"",1,"",1,"Presumed drowning","Western Mediterranean","35.949766199352"," -5.309639687500"
"February 12, 2018",2018,"Feb",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.480420966708"," -4.740933306885"
"February 11, 2018",2018,"Feb",1,"",1,"","","","","Drowning","Western Mediterranean","36.424291687372"," 0.620750723437"
"February 11, 2018",2018,"Feb","",5,5,29,"","","","Presumed drowning","Western Mediterranean","35.585153669322"," -2.957796002344"
"February 10, 2018",2018,"Feb",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.729843473764"," 2.792090733594"
"February 09, 2018",2018,"Feb",3,"",3,32,"",3,"","Hypothermia","Western Mediterranean","35.746320190537"," -3.214241932031"
"February 09, 2018",2018,"Feb",7,"",7,"","","","","Presumed drowning","Central Mediterranean","32.938443110773"," 12.087154137109"
"February 08, 2018",2018,"Feb",1,"",1,"","","","","Drowning","Western Mediterranean","36.185775189622"," 0.259513731250"
"February 03, 2018",2018,"Feb",21,26,47,1,8,31,5,"Drowning","Western Mediterranean","35.583186593035"," -2.795275034375"
"February 01, 2018",2018,"Feb",14,86,100,3,1,1,2,"Drowning","Central Mediterranean","33.245635482342"," 12.247829185937"
"January 28, 2018",2018,"Jan",1,"",1,"",1,"","","Unknown","Central Mediterranean","34.740267700000"," 10.748212700000"
"January 27, 2018",2018,"Jan",2,32,34,96,2,"",3,"Drowning","Central Mediterranean","34.750921892473"," 13.535156250000"
"January 26, 2018",2018,"Jan",2,"",2,"",1,1,"","Drowning","Western Mediterranean","36.280790301064"," 0.094711585937"
"January 23, 2018",2018,"Jan",3,"",3,57,"","","","Presumed drowning","Western Mediterranean","35.359236275280"," -2.644685650781"
"January 23, 2018",2018,"Jan","",1,1,"",1,"",1,"Presumed drowning","Western Mediterranean","35.805774336301"," -0.803585382031"
